"Data successfully updated.","Vos données sont mises à jour avec succès."
"Please wait ...","S'il vous plaît, attendez ..."
"Analysis done!","Analyse terminée!"
"Your shop categories were synchronized","Vos données de magasin ont été analysées."
"Enable A/B Testing","Activer A/B testing."
"Submit","Valider"
"View my statistics","Voir mes statistiques."
"Go to my profile","Voir mon profil"
"Synchronize my categories","Synchroniser mes catégories."
"Please add your access key","Ajoutez votre clé d'accès"
"your access key","votre clé d'accès"
"By clicking you accept the","En cliquant, vous acceptez les"
"terms and conditions of Favizone","termes et conditions de Favizone."
"Yes","Oui"
"No","Non"
"End preview mode","Fermer le mode demo"
"This is a demonstration  of Favizone's recommendations.","Ceci est une démonstration des recommandations de Favizone."
"Help","Aide"
"You can navigate on your store and view all Favizone's recommendations","Vous pouvez naviguer dans votre boutique et prévisualiser les recommandations de Favizone."
"Go to my dashboard","Aller vers mon tableau de bord"
"Your access key","Votre clès d'accès"
"Your shop data were analyzed","Vos données de magasin sont analysées avec succès!"
"Note : installing Favizone  will not activate immediately the recommendations on your site","L'installation de Favizone n'activera pas immédiatement les carousels de recommandation dans votre site"
"Please add your email","Entrez votre email"
"Your email","Votre email"
"Error! Please refresh the the page and try again","Une erreur est produite! Veuillez rafraichir la page et essayez de nouveau"
"You can contact our support for any information :","Vous pouvez contacter notre support pour toute information : "
"Help","Aide"
"Help to getting stared","Aide pour commencer"
"Reset Favizone extension data","Réinitialiser les données de l'extention Favizone"
"This will remove all Favizone extension config data!","Cette action va rénitialiser toutes des données de configuration de votre extention Favizone!"
"This will remove all Favizone extension config data for this store view !","Cette action va rénitialiser toutes des données de configuration de votre extention Favizone pour cette boutique!"
"Please do not close this window until you finish your simulation on preview mode.","Veuillez ne pas fermer cette fenêtre jusqu'à ce que vous avez terminé votre simulation en mode de prévisualisation."
